category,title,publishedAt,excerpt,body
berita,Kerja Bakti Membersihkan Saluran Air,2026-07-12,Warga bergotong royong membersihkan saluran air menjelang musim hujan.,"Puluhan warga Kelurahan Sidoharjo mengikuti kegiatan kerja bakti membersihkan saluran air di sepanjang jalan utama pada Minggu pagi.|Kegiatan ini bertujuan mencegah banjir dan menjaga kebersihan lingkungan menjelang musim penghujan."
berita,Posyandu Balita Rutin Bulan Ini,2026-07-05,Kegiatan posyandu balita kembali digelar dengan pemeriksaan gizi gratis.,"Posyandu balita rutin bulanan kembali digelar di Balai Pertemuan Warga dengan layanan penimbangan dan pemeriksaan gizi.|Para kader kesehatan juga memberikan penyuluhan mengenai pola makan sehat bagi balita."
berita,Musyawarah Rencana Pembangunan Kelurahan,2026-06-20,Warga dan perangkat kelurahan membahas prioritas pembangunan tahun depan.,"Musyawarah rencana pembangunan (musrenbang) tingkat kelurahan berlangsung dengan diikuti perwakilan warga dari setiap RW.|Beberapa usulan prioritas meliputi perbaikan jalan lingkungan dan penambahan lampu penerangan jalan."
berita,Pembagian Bantuan Sosial untuk Warga,2026-05-28,Bantuan sosial disalurkan kepada warga yang membutuhkan.,"Pemerintah kelurahan menyalurkan bantuan sosial berupa sembako kepada warga kurang mampu di wilayah Sidoharjo.|Penyaluran dilakukan secara tertib dengan mendahulukan lansia dan penyandang disabilitas."
berita,Pelatihan UMKM Digital bagi Pelaku Usaha,2026-04-15,Pelaku UMKM dilatih memasarkan produk melalui media sosial.,"Sebanyak 30 pelaku UMKM mengikuti pelatihan pemasaran digital yang diselenggarakan bekerja sama dengan dinas terkait.|Peserta belajar membuat foto produk yang menarik dan memanfaatkan media sosial untuk menjangkau pembeli."
berita,Vaksinasi dan Pemeriksaan Kesehatan Gratis,2026-03-08,Layanan kesehatan gratis digelar untuk seluruh warga.,"Puskesmas Sidoharjo mengadakan layanan vaksinasi dan pemeriksaan kesehatan gratis bagi warga di balai kelurahan.|Antusiasme warga cukup tinggi, terutama untuk pemeriksaan tekanan darah dan gula darah."
prestasi,Juara 1 Lomba Kelurahan Bersih Tingkat Kabupaten,2025-11-10,Sidoharjo meraih juara pertama dalam lomba kebersihan tingkat kabupaten.,"Kelurahan Sidoharjo berhasil meraih juara 1 dalam Lomba Kelurahan Bersih Tingkat Kabupaten Wonogiri tahun 2025.|Penghargaan ini merupakan hasil kerja sama seluruh warga dalam menjaga kebersihan dan keindahan lingkungan."
prestasi,Juara 2 Festival Seni Budaya Wonogiri,2025-08-17,Grup kesenian kelurahan meraih juara dua di festival budaya.,"Grup kesenian Kelurahan Sidoharjo meraih juara 2 dalam Festival Seni Budaya Wonogiri yang digelar dalam rangka HUT Kemerdekaan.|Penampilan tari tradisional dari warga mendapat apresiasi tinggi dari dewan juri."
prestasi,Penghargaan Kelurahan Sadar Hukum,2024-10-05,Sidoharjo dinobatkan sebagai kelurahan sadar hukum.,"Kelurahan Sidoharjo menerima penghargaan sebagai Kelurahan Sadar Hukum dari pemerintah provinsi.|Penghargaan diberikan atas tingginya kesadaran hukum dan rendahnya angka pelanggaran di wilayah ini."
prestasi,Juara 1 Turnamen Voli Antar-Kelurahan,2024-06-22,Tim voli Sidoharjo menjuarai turnamen antar-kelurahan.,"Tim bola voli Kelurahan Sidoharjo keluar sebagai juara 1 dalam turnamen voli antar-kelurahan se-Kecamatan Sidoharjo.|Kemenangan ini menambah semangat warga untuk terus aktif dalam kegiatan olahraga."
prestasi,Juara Harapan Lomba Posyandu Tingkat Provinsi,2023-09-14,Kader posyandu Sidoharjo meraih juara harapan tingkat provinsi.,"Posyandu Kelurahan Sidoharjo meraih juara harapan dalam lomba posyandu tingkat provinsi Jawa Tengah.|Prestasi ini menjadi bukti dedikasi para kader kesehatan dalam melayani warga."
